"id_expediente","numero","num_orden","id_tipo","id_exp_asociado","id_tipo_cliente","id_estado","capital","agencia","agencia_num","siniestro_num","traslado","literales_no","poliza_num","fecha_solic","hora_solic","id_cliente","id_user","fecha_alta","fecha_baja","id_serie"
"3","3/2015","3/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-05-19",NULL,"17","4","2015-05-20",NULL,"0"
"7","6/2015","6/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-05-15",NULL,"6","4","2015-05-21",NULL,"0"
"8","7/2015","7/2015","1",NULL,"1","4",,,,,NULL,"0",,"2015-05-17",NULL,"7","4","2015-05-21",NULL,"0"
"10","8/2015","8/2015","1",NULL,"1","4",,,,,NULL,"0",,"2015-05-22","00:00:00","14","4","2015-05-22",NULL,"0"
"11","9/2015","9/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-05-22","00:00:00","15","4","2015-05-22",NULL,"0"
"12","10/2015","10/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-05-23","00:00:00","18","4","2015-05-24",NULL,"0"
"13","11/2015","11/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-05-29","00:00:00","19","4","2015-05-29",NULL,"0"
"14","12/2015","12/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-05-29","00:00:00","21","4","2015-05-29",NULL,"0"
"15","13/2015","13/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-05-30","05:00:00","22","4","2015-05-30",NULL,"0"
"16","14/2015","14/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-02","00:00:00","119","4","2015-06-02",NULL,"0"
"17","15/2015","15/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-03","00:10:00","24","4","2015-06-03",NULL,"0"
"18","16/2015","16/2015","1",NULL,"1","4",,,,,NULL,"0",,"2015-06-04","09:00:00","14","4","2015-06-05",NULL,"0"
"19","17/2015","17/2015","1",NULL,"1","4",,,,,NULL,"0",,"2015-06-05",NULL,"2","4","2015-06-05",NULL,"0"
"20","18/2015","18/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-05","00:00:00","25","4","2015-06-05",NULL,"0"
"21","19/2015","19/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-06","00:00:00","34","4","2015-06-06",NULL,"0"
"23","20/2015","20/2015","1",NULL,"1","4",,,,,NULL,"0",,"2015-06-09",NULL,"14","4","2015-06-09",NULL,"0"
"24","21/2015","21/2015","1",NULL,"1","4",,,,,NULL,"0",,"2015-06-09",NULL,"14","4","2015-06-09",NULL,"0"
"25","22/2015","22/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-10","00:00:00","27","4","2015-06-10",NULL,"0"
"28","23/2015","23/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-12","00:00:00","29","4","2015-06-12",NULL,"0"
"34","24/2015","24/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-13","00:00:00","30","4","2015-06-13",NULL,"0"
"35","25/2015","25/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-15","04:30:00","31","4","2015-06-15",NULL,"0"
"36","26/2015","26/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-16","12:00:00","41","4","2015-06-16",NULL,"0"
"37","27/2015","27/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-12",NULL,"30","4","2015-06-16",NULL,"0"
"38","28/2015","28/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-17","07:30:00","33","4","2015-06-17",NULL,"0"
"40","29/2015","29/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-18",NULL,"42","4","2015-06-18",NULL,"0"
"41","30/2015","30/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-17",NULL,"35","4","2015-06-18",NULL,"0"
"42","31/2015","31/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-19",NULL,"36","4","2015-06-19",NULL,"0"
"44","33/2015","33/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-21",NULL,"39","4","2015-06-21",NULL,"0"
"45","34/2015","34/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-21",NULL,"38","4","2015-06-21",NULL,"0"
"46","35/2015","35/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-22",NULL,"40","4","2015-06-22",NULL,"0"
"47","36/2015","36/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-24",NULL,"43","4","2015-06-24",NULL,"0"
"48","37/2015","37/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-24",NULL,"44","4","2015-06-24",NULL,"0"
"49","38/2015","38/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-25",NULL,"45","4","2015-06-25",NULL,"0"
"50","39/2015","39/2015","1",NULL,"1","4",,,,,NULL,"0",,"2015-06-26",NULL,"2","4","2015-06-26",NULL,"0"
"51","P 1/2015","1/2015","2",NULL,"2","1",,,,,NULL,"0",,"2015-06-26",NULL,"46","4","2015-06-26",NULL,"0"
"52","40/2015","40/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-26",NULL,"46","4","2015-06-27",NULL,"0"
"53","41/2015","41/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-28",NULL,"47","4","2015-06-28",NULL,"0"
"54","42/2015","42/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-06-30",NULL,"48","4","2015-06-30",NULL,"0"
"55","43/2015","43/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-07-05","00:00:00","49","4","2015-07-05",NULL,"0"
"56","44/2015","44/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-07-06",NULL,"50","4","2015-07-06",NULL,"0"
"57","45/2015","45/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-07-06",NULL,"92","4","2015-07-06",NULL,"0"
"58","46/2015","46/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-07-08",NULL,"52","4","2015-07-08",NULL,"0"
"59","47/2015","47/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-07-08",NULL,"53","4","2015-07-08",NULL,"0"
"60","P 2/2015","2/2015","2",NULL,"1","1",,,,,NULL,"0",,"2015-07-09",NULL,"0","4","2015-07-09",NULL,"0"
"62","48/2015","48/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-07-10","00:00:00","54","4","2015-07-10",NULL,"0"
"63","49/2015","49/2015","1",NULL,"1","4",,,,,NULL,"0",,"2015-07-10",NULL,"7","4","2015-07-10",NULL,"0"
"64","50/2015","50/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-07-06",NULL,"55","4","2015-07-11",NULL,"0"
"66","51/2015","51/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-07-09",NULL,"59","4","2015-07-11",NULL,"0"
"67","52/2015","52/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-07-11",NULL,"57","4","2015-07-11",NULL,"0"
"68","53/2015","53/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-07-11","00:00:00","62","4","2015-07-12",NULL,"0"
"69","54/2015","54/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-07-13",NULL,"58","4","2015-07-13",NULL,"0"
"70","P 3/2015","3/2015","2",NULL,"1","3",,,,,NULL,"0",,"2015-07-15",NULL,"60","4","2015-07-15",NULL,"0"
"71","P 4/2015","4/2015","2",NULL,"1","3","2",,,,NULL,"0",,"2015-07-15",NULL,"60","4","2015-07-15",NULL,"0"
"72","P 5/2015","5/2015","2",NULL,"1","3",,,,,NULL,"0",,"2015-07-15",NULL,"60","4","2015-07-15",NULL,"0"
"73","55/2015","55/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-07-15","00:00:00","61","4","2015-07-15",NULL,"0"
"74","56/2015","56/2015","1",NULL,"1","4",,,,,NULL,"0",,"2015-07-15",NULL,"2","4","2015-07-16",NULL,"0"
"75","P 6/2015","6/2015","2",NULL,"1","3",,,,,NULL,"0",,"2015-07-16",NULL,"60","4","2015-07-16",NULL,"0"
"77","58/2015","58/2015","1",NULL,"1","4",,,,,NULL,"0",,"2015-07-19",NULL,"2","4","2015-07-19",NULL,"0"
"78","59/2015","59/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-07-19",NULL,"63","4","2015-07-19",NULL,"0"
"79","60/2015","60/2015","1",NULL,"1","4",,,,"33604217",NULL,"0","920710","2015-07-24","00:00:00","7","4","2015-07-24",NULL,"0"
"80","61/2015","61/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-07-26",NULL,"64","4","2015-07-26",NULL,"0"
"81","62/2015","62/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-07-27",NULL,"65","4","2015-07-27",NULL,"0"
"82","63/2015","63/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-07-29",NULL,"66","4","2015-07-29",NULL,"0"
"83","64/2015","64/2015","1",NULL,"1","4","2.851.12",,,,NULL,"0","0370030011452","2015-07-31","14:25:00","9","4","2015-07-31",NULL,"0"
"84","65/2015","65/2015","1",NULL,"1","4",,,,"3306260",NULL,"0","46525133134/047","2015-08-01",NULL,"7","4","2015-08-01",NULL,"0"
"85","66/2015","66/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-08-01","17:00:00","67","4","2015-08-04",NULL,"0"
"86","67/2015","67/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-08-04","05:00:00","68","4","2015-08-04",NULL,"0"
"87","68/2015","68/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-08-04","09:30:00","69","0","2015-08-04",NULL,"0"
"88","69/2015","69/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-08-04","23:50:00","70","4","2015-08-05",NULL,"0"
"89","70/2015","70/2015","1",NULL,"1","4",,,,,NULL,"0",,"2015-08-07","15:00:00","14","4","2015-08-07",NULL,"0"
"90","71/2015","71/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-08-14","06:00:00","71","4","2015-08-15",NULL,"0"
"91","72/2015","72/2015","1",NULL,"1","4",,,,"15205410",NULL,"0",,"2015-08-15","00:00:00","8","4","2015-08-15",NULL,"0"
"92","73/2015","73/2015","1",NULL,"1","4",,,,,NULL,"0",,"2015-08-15","21:50:00","72","4","2015-08-17",NULL,"0"
"93","74/2015","74/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-08-22",NULL,"73","4","2015-08-22",NULL,"0"
"94","75/2015","75/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-08-24",NULL,"74","4","2015-08-24",NULL,"0"
"95","76/2015","76/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-08-22",NULL,"84","4","2015-08-24",NULL,"0"
"96","77/2015","77/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-08-24",NULL,"76","4","2015-08-25",NULL,"0"
"97","78/2015","78/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-08-26",NULL,"77","4","2015-08-26",NULL,"0"
"98","79/2015","79/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-08-27",NULL,"87","4","2015-08-27",NULL,"0"
"99","80/2015","80/2015","1",NULL,"2","4",,,,,NULL,"0",,"2015-08-28",NULL,"79","4","2015-08-28",NULL,"0"
"100","81/2015","81/2015","1",NULL,"1","4",,,,"33076719",NULL,"0",,"2015-08-29",NULL,"7","4","2015-08-29",NULL,"0"
"101","82/2015","82/2015","1",NULL,"1","4",,,,,NULL,"0","134125748","2015-08-29","13:00:00","7","4","2015-08-29",NULL,"0"
"102","83/2015","83/2015","1",NULL,"1","4",,,,,NULL,"0","134125748","2015-08-29","00:00:00","7","4","2015-08-29",NULL,"0"
